amfi_code,sharpe_ratio,rank
148567,1.4482911703262527,1
120843,1.306743969542841,2
148569,1.2349300257743308,3
119551,1.2082665673727144,4
120505,1.180101197660648,5
149323,1.1321218524747216,6
100033,1.0936987435346326,7
118632,1.0816591793457033,8
101206,1.0272133278753701,9
120504,1.026524284799298,10
119094,0.99823098686364,11
119552,0.9532794968660095,12
149324,0.9497958246616023,13
119598,0.945308257515609,14
148568,0.9262873467360142,15
102885,0.8170993373494353,16
120503,0.7979728586052823,17
125497,0.7757902498211187,18
118635,0.6648569985490608,19
120506,0.6488787755249527,20
118633,0.6452074382933205,21
102887,0.6195175900829824,22
120507,0.49572339295190476,23
120841,0.49427253786723035,24
149322,0.46403744922047446,25
118634,0.4484340089089896,26
125498,0.30061192104254514,27
101207,0.16266076928646767,28
119093,0.12961449795668872,29
120842,0.07599984804658412,30
119092,0.03078485095458389,31
119599,-0.05718662582818196,32
119095,-0.07597357117478942,33
120844,-0.08874729621698073,34
100016,-0.20151706755966975,35
102886,-0.20583160785470497,36
119120,-0.22657538662794544,37
118636,-0.3566295075144002,38
100025,-0.5670947928477088,39
101208,-0.8155673679101677,40
