amfi_code,sortino_ratio,rank
148567,2.3856443733687964,1
120843,2.3643200321667095,2
148569,2.1469139263460493,3
119551,2.1402671290617783,4
120505,2.0293529404657367,5
149323,1.8751010639191967,6
118632,1.8501325468557168,7
100033,1.8291339615146907,8
120504,1.8052937940992428,9
101206,1.7995628746984453,10
119094,1.703797480246292,11
119598,1.6753165700125474,12
148568,1.632740977873509,13
149324,1.6197931764914022,14
119552,1.6097764896282982,15
102885,1.4357420130649403,16
120503,1.337943150066913,17
125497,1.3306512447571266,18
118633,1.154475716923616,19
118635,1.1379767187807353,20
120506,1.0958951614736427,21
102887,1.0887552508029974,22
120507,1.0521238822579755,23
120841,0.8625738849916464,24
149322,0.7621288703723086,25
118634,0.7460146308533523,26
125498,0.5088128197169163,27
101207,0.2766437962609222,28
119093,0.22108683979275476,29
120842,0.12469346986474783,30
119092,0.05257398559304429,31
119599,-0.09438726129459901,32
119095,-0.12818559275851915,33
120844,-0.18772304774540446,34
102886,-0.3472223025472746,35
100016,-0.35104746015230864,36
119120,-0.3767670081707114,37
118636,-0.6135251287271503,38
100025,-0.941821236605445,39
101208,-1.6810378667540993,40
